Document_ID,Frequency,Replacement_Type,Target_Queries_Total,Target_Accuracy_Before,Target_Accuracy_After,Target_Accuracy_Drop,Target_Relevant_Accuracy_Before,Target_Relevant_Accuracy_After,Target_Relevant_Accuracy_Drop,Other_Queries_Total,Other_Accuracy_Before,Other_Accuracy_After,Other_Accuracy_Drop,Other_Relevant_Accuracy_Before,Other_Relevant_Accuracy_After,Other_Relevant_Accuracy_Drop,Overall_Accuracy_Before,Overall_Accuracy_After,Overall_Accuracy_Drop,Execution_Time
2182,0.05,zero_out,15,100.0,100.0,0.0,100.0,100.0,0.0,4507,100.0,94.85245174173508,5.147548258264921,100.0,95.93964943421345,4.060350565786554,0,0,0,11.165937423706055
2182,0.1,zero_out,15,100.0,100.0,0.0,100.0,100.0,0.0,4507,100.0,85.8220545817617,14.177945418238297,100.0,88.5511426669625,11.448857333037497,0,0,0,12.8876314163208
2182,0.15,zero_out,15,100.0,66.66666666666666,33.33333333333333,100.0,66.66666666666666,33.33333333333333,4507,100.0,72.55380519192367,27.446194808076324,100.0,75.68227202130021,24.3177279786998,0,0,0,13.916077375411987
2182,0.2,zero_out,15,100.0,13.333333333333334,86.66666666666667,100.0,13.333333333333334,86.66666666666667,4507,100.0,54.49301087197692,45.50698912802307,100.0,57.15553583314844,42.844464166851566,0,0,0,14.222629308700562
2182,0.25,zero_out,15,100.0,0.0,100.0,100.0,0.0,100.0,4507,100.0,47.637009096960284,52.362990903039716,100.0,50.05546927002441,49.9445307299756,0,0,0,14.344069480895996
2182,0.3,zero_out,15,100.0,0.0,100.0,100.0,0.0,100.0,4507,100.0,45.0188595518083,54.9811404481917,100.0,47.3929443088529,52.60705569114711,0,0,0,14.370403289794922
758,0.05,zero_out,1,100.0,100.0,0.0,100.0,100.0,0.0,4521,100.0,98.4516699845167,1.5483300154833002,100.0,98.76133598761336,1.2386640123866401,0,0,0,9.516475200653076
758,0.1,zero_out,1,100.0,100.0,0.0,100.0,100.0,0.0,4521,100.0,96.10705596107056,3.8929440389294405,100.0,97.16876797168767,2.8312320283123205,0,0,0,9.938981533050537
758,0.15,zero_out,1,100.0,100.0,0.0,100.0,100.0,0.0,4521,100.0,93.93939393939394,6.0606060606060606,100.0,95.46560495465604,4.53439504534395,0,0,0,10.331453084945679
758,0.2,zero_out,1,100.0,0.0,100.0,100.0,0.0,100.0,4521,100.0,92.47953992479539,7.520460075204601,100.0,94.42601194426013,5.57398805573988,0,0,0,12.374552011489868
758,0.25,zero_out,1,100.0,0.0,100.0,100.0,0.0,100.0,4521,100.0,92.39106392391065,7.6089360760893605,100.0,94.4481309444813,5.551869055518691,0,0,0,10.543305397033691
758,0.3,zero_out,1,100.0,0.0,100.0,100.0,0.0,100.0,4521,100.0,91.99292191992922,8.007078080070782,100.0,94.07210794072108,5.92789205927892,0,0,0,10.565316915512085
21404,0.05,zero_out,2,100.0,100.0,0.0,100.0,100.0,0.0,4520,100.0,98.49557522123894,1.5044247787610618,100.0,98.73893805309734,1.261061946902655,0,0,0,9.515566110610962
21404,0.1,zero_out,2,100.0,100.0,0.0,100.0,100.0,0.0,4520,100.0,95.75221238938053,4.2477876106194685,100.0,96.76991150442478,3.2300884955752216,0,0,0,10.009310722351074
21404,0.15,zero_out,2,100.0,100.0,0.0,100.0,100.0,0.0,4520,100.0,94.22566371681415,5.774336283185841,100.0,95.6637168141593,4.336283185840708,0,0,0,10.430717468261719
21404,0.2,zero_out,2,100.0,50.0,50.0,100.0,50.0,50.0,4520,100.0,92.67699115044248,7.323008849557522,100.0,94.64601769911505,5.353982300884956,0,0,0,10.597229480743408
21404,0.25,zero_out,2,100.0,50.0,50.0,100.0,50.0,50.0,4520,100.0,92.23451327433628,7.765486725663717,100.0,94.15929203539824,5.84070796460177,0,0,0,10.659438133239746
21404,0.3,zero_out,2,100.0,0.0,100.0,100.0,0.0,100.0,4520,100.0,92.21238938053096,7.787610619469026,100.0,94.3141592920354,5.685840707964602,0,0,0,10.669591665267944
9701,0.05,zero_out,7,100.0,85.71428571428571,14.285714285714285,100.0,85.71428571428571,14.285714285714285,4515,100.0,96.43410852713178,3.565891472868217,100.0,97.18715393133998,2.812846068660022,0,0,0,10.196521043777466
9701,0.1,zero_out,7,100.0,57.14285714285714,42.857142857142854,100.0,57.14285714285714,42.857142857142854,4515,100.0,90.3875968992248,9.612403100775193,100.0,92.46954595791806,7.530454042081949,0,0,0,11.693512201309204
9701,0.15,zero_out,7,100.0,0.0,100.0,100.0,0.0,100.0,4515,100.0,85.0719822812846,14.928017718715395,100.0,87.57475083056478,12.425249169435217,0,0,0,12.507815837860107
9701,0.2,zero_out,7,100.0,0.0,100.0,100.0,0.0,100.0,4515,100.0,80.70874861572536,19.29125138427464,100.0,83.47729789590255,16.522702104097455,0,0,0,12.784213304519653
9701,0.25,zero_out,7,100.0,0.0,100.0,100.0,0.0,100.0,4515,100.0,79.11406423034329,20.8859357696567,100.0,82.08194905869325,17.918050941306753,0,0,0,12.93634843826294
9701,0.3,zero_out,7,100.0,0.0,100.0,100.0,0.0,100.0,4515,100.0,78.11738648947951,21.88261351052049,100.0,81.0188261351052,18.981173864894796,0,0,0,12.920140981674194
9615,0.05,zero_out,4,100.0,100.0,0.0,100.0,100.0,0.0,4518,100.0,96.7020805666224,3.297919433377601,100.0,97.54316069057106,2.456839309428951,0,0,0,10.108116388320923
9615,0.1,zero_out,4,100.0,75.0,25.0,100.0,75.0,25.0,4518,100.0,91.50066401062416,8.49933598937583,100.0,93.55909694555112,6.440903054448871,0,0,0,11.409101724624634
9615,0.15,zero_out,4,100.0,50.0,50.0,100.0,50.0,50.0,4518,100.0,87.42806551571492,12.571934484285082,100.0,90.01770694997788,9.982293050022134,0,0,0,12.105172872543335
9615,0.2,zero_out,4,100.0,0.0,100.0,100.0,0.0,100.0,4518,100.0,84.26294820717132,15.737051792828685,100.0,87.09606020362992,12.903939796370075,0,0,0,12.346532344818115
9615,0.25,zero_out,4,100.0,0.0,100.0,100.0,0.0,100.0,4518,100.0,83.02346170872067,16.97653829127933,100.0,85.85657370517929,14.143426294820719,0,0,0,12.42571234703064
9615,0.3,zero_out,4,100.0,0.0,100.0,100.0,0.0,100.0,4518,100.0,82.40371845949535,17.59628154050465,100.0,85.23683045595396,14.763169544046036,0,0,0,12.454485416412354
8026,0.05,zero_out,3,100.0,66.66666666666666,33.33333333333333,100.0,100.0,0.0,4519,100.0,98.6280150475769,1.3719849524231025,100.0,99.02633325957069,0.9736667404292986,0,0,0,9.502062320709229
8026,0.1,zero_out,3,100.0,33.33333333333333,66.66666666666666,100.0,100.0,0.0,4519,100.0,96.41513609205576,3.5848639079442357,100.0,97.36667404292986,2.6333259570701486,0,0,0,9.744213104248047
8026,0.15,zero_out,3,100.0,0.0,100.0,100.0,0.0,100.0,4519,100.0,94.66696171719407,5.333038282805931,100.0,95.99468909050674,4.005310909493251,0,0,0,10.060338973999023
8026,0.2,zero_out,3,100.0,0.0,100.0,100.0,0.0,100.0,4519,100.0,93.67116618720956,6.328833812790441,100.0,95.26443903518478,4.735560964815225,0,0,0,14.00357985496521
8026,0.25,zero_out,3,100.0,0.0,100.0,100.0,0.0,100.0,4519,100.0,93.56052223943351,6.439477760566498,100.0,95.13166629785351,4.868333702146493,0,0,0,10.242669582366943
8026,0.3,zero_out,3,100.0,0.0,100.0,100.0,0.0,100.0,4519,100.0,93.18433281699491,6.815667183005089,100.0,94.9103784023014,5.0896215976986054,0,0,0,10.24238657951355
71386,0.05,zero_out,22,100.0,100.0,0.0,100.0,100.0,0.0,4500,100.0,95.35555555555555,4.644444444444444,100.0,96.37777777777778,3.6222222222222227,0,0,0,10.82194209098816
71386,0.1,zero_out,22,100.0,100.0,0.0,100.0,100.0,0.0,4500,100.0,87.35555555555555,12.644444444444444,100.0,90.08888888888889,9.911111111111111,0,0,0,12.795778036117554
71386,0.15,zero_out,22,100.0,63.63636363636363,36.36363636363637,100.0,63.63636363636363,36.36363636363637,4500,100.0,78.4,21.6,100.0,82.08888888888889,17.91111111111111,0,0,0,13.76966142654419
71386,0.2,zero_out,22,100.0,13.636363636363635,86.36363636363636,100.0,13.636363636363635,86.36363636363636,4500,100.0,69.6,30.4,100.0,72.64444444444445,27.355555555555554,0,0,0,14.111788988113403
71386,0.25,zero_out,22,100.0,4.545454545454546,95.45454545454545,100.0,4.545454545454546,95.45454545454545,4500,100.0,64.44444444444444,35.55555555555556,100.0,67.55555555555556,32.44444444444444,0,0,0,14.199490785598755
71386,0.3,zero_out,22,100.0,0.0,100.0,100.0,0.0,100.0,4500,100.0,62.44444444444445,37.55555555555555,100.0,65.28888888888889,34.71111111111111,0,0,0,14.299856901168823
